Created,Passenger,ds,y
2018-12-08,5068,2018-12-08,5068
2018-12-09,4325,2018-12-09,4325
2018-12-10,6895,2018-12-10,6895
2018-12-11,5721,2018-12-11,5721
2018-12-12,6827,2018-12-12,6827
2018-12-13,5461,2018-12-13,5461
2018-12-14,5392,2018-12-14,5392
2018-12-15,4691,2018-12-15,4691
2018-12-16,4299,2018-12-16,4299
2018-12-17,4623,2018-12-17,4623
2018-12-18,4094,2018-12-18,4094
2018-12-19,5141,2018-12-19,5141
2018-12-20,4295,2018-12-20,4295
2018-12-21,3947,2018-12-21,3947
2018-12-22,3634,2018-12-22,3634
2018-12-23,3437,2018-12-23,3437
2018-12-24,2307,2018-12-24,2307
2018-12-25,1543,2018-12-25,1543
2018-12-26,4920,2018-12-26,4920
2018-12-27,5279,2018-12-27,5279
2018-12-28,5257,2018-12-28,5257
2018-12-29,4246,2018-12-29,4246
2018-12-30,3679,2018-12-30,3679
2018-12-31,3655,2018-12-31,3655
2019-01-01,2570,2019-01-01,2570
2019-01-02,5189,2019-01-02,5189
2019-01-03,4596,2019-01-03,4596
2019-01-04,5183,2019-01-04,5183
2019-01-05,4185,2019-01-05,4185
2019-01-06,3754,2019-01-06,3754
2019-01-07,4323,2019-01-07,4323
2019-01-08,4434,2019-01-08,4434
2019-01-09,5686,2019-01-09,5686
2019-01-10,5504,2019-01-10,5504
2019-01-11,4904,2019-01-11,4904
2019-01-12,4537,2019-01-12,4537
2019-01-13,3614,2019-01-13,3614
2019-01-14,4745,2019-01-14,4745
2019-01-15,4429,2019-01-15,4429
2019-01-16,5233,2019-01-16,5233
2019-01-17,4615,2019-01-17,4615
2019-01-18,5077,2019-01-18,5077
2019-01-19,4422,2019-01-19,4422
2019-01-20,3583,2019-01-20,3583
2019-01-21,5612,2019-01-21,5612
2019-01-22,4492,2019-01-22,4492
2019-01-23,5964,2019-01-23,5964
2019-01-24,4549,2019-01-24,4549
2019-01-25,4635,2019-01-25,4635
2019-01-26,4058,2019-01-26,4058
2019-01-27,4171,2019-01-27,4171
2019-01-28,4866,2019-01-28,4866
2019-01-29,4807,2019-01-29,4807
2019-01-30,5472,2019-01-30,5472
2019-01-31,4913,2019-01-31,4913
2019-02-01,4997,2019-02-01,4997
2019-02-02,4542,2019-02-02,4542
2019-02-03,4366,2019-02-03,4366
2019-02-04,4386,2019-02-04,4386
2019-02-05,4505,2019-02-05,4505
2019-02-06,6073,2019-02-06,6073
2019-02-07,5295,2019-02-07,5295
2019-02-08,5200,2019-02-08,5200
2019-02-09,4667,2019-02-09,4667
2019-02-10,4484,2019-02-10,4484
2019-02-11,4735,2019-02-11,4735
2019-02-12,4744,2019-02-12,4744
2019-02-13,6132,2019-02-13,6132
2019-02-14,4905,2019-02-14,4905
2019-02-15,4743,2019-02-15,4743
2019-02-16,4775,2019-02-16,4775
2019-02-17,4872,2019-02-17,4872
2019-02-18,4965,2019-02-18,4965
2019-02-19,4772,2019-02-19,4772
2019-02-20,5827,2019-02-20,5827
2019-02-21,5531,2019-02-21,5531
2019-02-22,6111,2019-02-22,6111
2019-02-23,5326,2019-02-23,5326
2019-02-24,6150,2019-02-24,6150
2019-02-25,7388,2019-02-25,7388
2019-02-26,6741,2019-02-26,6741
2019-02-27,10453,2019-02-27,10453
2019-02-28,8920,2019-02-28,8920
2019-03-01,9841,2019-03-01,9841
2019-03-02,8186,2019-03-02,8186
2019-03-03,8104,2019-03-03,8104
2019-03-04,8479,2019-03-04,8479
