,ds,yhat,yhat_lower,yhat_upper,y,cutoff
67,2019-04-02,1091.4952034205553,830.7405274029115,1368.4989107617018,1382,2019-01-24
68,2019-04-03,1045.6323313247954,774.1392563267631,1322.0905302025515,1288,2019-01-24
69,2019-04-04,988.3800820528484,709.4791996590118,1243.6822287949465,1162,2019-01-24
70,2019-04-05,1045.357562282159,762.6148566109857,1329.544714727963,1196,2019-01-24
71,2019-04-06,710.8423296533522,428.6568251785781,966.4029119623165,965,2019-01-24
72,2019-04-07,610.3630429100931,350.2126597916868,861.8727473902682,967,2019-01-24
73,2019-04-08,1103.8210676260603,821.2254633288982,1369.1656047746235,1498,2019-01-24
74,2019-04-09,1132.5934957887127,858.3759300340555,1409.863157463516,1171,2019-01-24
75,2019-04-10,1091.6287403947647,834.309068757623,1375.3628159212615,1415,2019-01-24
76,2019-04-11,1037.3843158415752,769.3002999756062,1320.9175406133959,1243,2019-01-24
77,2019-04-12,1095.4288277368205,838.2819863931054,1362.805886130763,1280,2019-01-24
78,2019-04-13,760.0478459303536,488.90564055886813,1031.1576015959556,975,2019-01-24
79,2019-04-14,656.8360855500644,386.7907427151083,932.6915414375036,908,2019-01-24
80,2019-04-15,1145.8168618041814,877.5101866190779,1428.5848933446844,1432,2019-01-24
81,2019-04-16,1168.541342784895,890.8946940827002,1461.588993036509,1089,2019-01-24
82,2019-04-17,1120.1788742544134,842.7137154176696,1399.9195564488693,1076,2019-01-24
83,2019-04-18,1057.4481434921117,792.9005300759304,1332.2130254406027,1203,2019-01-24
84,2019-04-19,1106.2114009481445,842.6194724790964,1378.4545240175303,1079,2019-01-24
85,2019-04-20,761.0716415919262,490.48736607471164,1035.2129444287348,849,2019-01-24
86,2019-04-21,647.9554251362074,371.2283644497841,911.9855282539434,833,2019-01-24
87,2019-04-22,1127.2225739902674,874.1343067838765,1383.1274444350424,1242,2019-01-24
88,2019-04-23,1140.7555570775194,876.4534918795812,1397.522226628118,1228,2019-01-24
89,2019-04-24,1084.04011972974,807.9467423431124,1351.3959433802288,1215,2019-01-24
